id,atlas_label,nd_region,network,name_alt,nd_region_back
87,87_10280_Left_Temporal_Pole_Superior,TPsup_L,Limbic/Paralimbic network,TPsup_L,Temporal_Pole_Sup_L
88,88_10704_Right_Temporal_Pole_Superior,TPsup_R,Limbic/Paralimbic network,TPsup_R,Temporal_Pole_Sup_R
89,89_39536_Left_Temporal_Middle,MTG_L,Language network,MTG_L,Temporal_Mid_L
90,90_35272_Right_Temporal_Middle,MTG_R,Language network,MTG_R,Temporal_Mid_R
91,91_6040_Left_Temporal_Middle,MTGp_L,Limbic/Paralimbic network,MTGp_L,Temporal_Pole_Mid_L
92,92_9496_Right_Temporal_Middle,MTGp_R,Limbic/Paralimbic network,MTGp_R,Temporal_Pole_Mid_R
93,93_25600_Left_Temporal_Inferior,ITG_L,Language network,ITG_L,Temporal_Inf_L
94,94_28456_Left_Temporal_Inferior,ITG_R,Language network,ITG_R,Temporal_Inf_R
95,95_20824_Left_Cerebellum_Crus_1,Crus1_L,Cerebellum,Crus1_L,Cerebellum_Crus1_L
96,96_21184_Right_Cerebellum_Crus_1,Crus1_R,Cerebellum,Crus1_R,Cerebellum_Crus1_R
97,97_14920_Left_Cerebellum_Crus_2,Crus2_L,Cerebellum,Crus2_L,Cerebellum_Crus2_L
98,98_16536_Right_Cerebellum_Crus_2,Crus2_R,Cerebellum,Crus2_R,Cerebellum_Crus2_R
99,99_1088_Left_Cerebellum_3,CER3_L,Cerebellum,CER3_L,Cerebellum_3_L
100,100_1656_Right_Cerebellum_3,CER3_R,Cerebellum,CER3_R,Cerebellum_3_R
101,"101_9000_Left_Cerebellum_4,_5",CER45_L,Cerebellum,CER45_L,Cerebellum_4_5_L
102,"102_6888_Right_Cerebellum_4,_5",CER45_R,Cerebellum,CER45_R,Cerebellum_4_5_R
103,103_13552_Left_Cerebellum_6,CER6_L,Cerebellum,CER6_L,Cerebellum_6_L
104,104_14360_Right_Cerebellum_6,CER6_R,Cerebellum,CER6_R,Cerebellum_6_R
105,105_3536_Left_Cerebellum_7b,CER7b_L,Cerebellum,CER7b_L,Cerebellum_7b_L
106,106_2408_Right_Cerebellum_7b,CER7b_R,Cerebellum,CER7b_R,Cerebellum_7b_R
107,107_8816_Left_Cerebellum_8,CER8_L,Cerebellum,CER8_L,Cerebellum_8_L
108,108_8776_Right_Cerebellum_8,CER8_R,Cerebellum,CER8_R,Cerebellum_8_R
109,109_4720_Left_Cerebellum_9,CER9_L,Cerebellum,CER9_L,Cerebellum_9_L
110,110_4376_Right_Cerebellum_9,CER9_R,Cerebellum,CER9_R,Cerebellum_9_R
111,111_1152_Left_Cerebellum_10,CER10_L,Cerebellum,CER10_L,Cerebellum_10_L
112,112_1272_Right_Cerebellum_10,CER10_R,Cerebellum,CER10_R,Cerebellum_10_R
113,113_416_Vermis_1_2,VERM1_2,Cerebellum,VERM1_2,Vermis_1_2
114,114_1824_Vermis_3,VERM3,Cerebellum,VERM3,Vermis_3
115,"115_5320_Vermis_4,_5",VERM4_5,Cerebellum,VERM4_5,Vermis_4_5
116,116_2968_Vermis_6,VERM6,Cerebellum,VERM6,Vermis_6
117,117_1552_Vermis_7,VERM7,Cerebellum,VERM7,Vermis_7
118,118_1944_Vermis_8,VERM8,Cerebellum,VERM8,Vermis_8
119,119_1392_Vermis_9,VERM9,Cerebellum,VERM9,Vermis_9
120,120_896_Vermis_10,VERM10,Cerebellum,VERM10,Vermis_10
121,121_144_Left_Thalamus_Anteroventral,ThAV_L,Thalamus,ThAV_L,Thal_AV_L
122,122_184_Right_Thalamus_Anteroventral,ThAV_R,Thalamus,ThAV_R,Thal_AV_R
123,123_192_Left_Thalamus_Lateral_Posterior,ThLP_L,Thalamus,ThLP_L,Thal_LP_L
124,124_176_Right_Thalamus_Lateral_Posterior,ThLP_R,Thalamus,ThLP_R,Thal_LP_R
125,125_656_Left_Thalamus_Ventral_Anterior,ThVA_L,Thalamus,ThVA_L,Thal_VA_L
126,126_656_Right_Thalamus_Ventral_Anterior,ThVA_R,Thalamus,ThVA_R,Thal_VA_R
127,127_2112_Left_Thalamus_Ventrolateral,ThVL_L,Thalamus,ThVL_L,Thal_VL_L
128,128_1992_Right_Thalamus_Ventrolateral,ThVL_R,Thalamus,ThVL_R,Thal_VL_R
129,129_1360_Left_Thalamus_Ventral_Posterolateral,ThVPL_L,Thalamus,ThVPL_L,Thal_VPL_L
130,130_1344_Right_Thalamus_Ventral_Posterolateral,ThVPL_R,Thalamus,ThVPL_R,Thal_VPL_R
131,131_400_Left_Thalamus_Intralaminar,ThIL_L,Thalamus,ThIL_L,Thal_IL_L
132,132_432_Right_Thalamus_Intralaminar,ThIL_R,Thalamus,ThIL_R,Thal_IL_R
133,133_0_Left_Thalamus_Reticular,ThRE_L,Thalamus,ThRE_L,Thal_Re_L
134,134_8_Right_Thalamus_Reticular,ThRE_R,Thalamus,ThRE_R,Thal_Re_R
135,135_976_Left_Thalamus_Mediodorsal_Medial,ThMDm_L,Thalamus,ThMDm_L,Thal_MDm_L
136,136_992_Right_Thalamus_Mediodorsal_Medial,ThMDm_R,Thalamus,ThMDm_R,Thal_MDm_R
137,137_320_Left_Thalamus_Mediodorsal_Lateral,ThMDl_L,Thalamus,ThMDl_L,Thal_MDl_L
138,138_272_Right_Thalamus_Mediodorsal_Lateral,ThMDl_R,Thalamus,ThMDl_R,Thal_MDl_R
139,139_296_Left_Thalamus_Lateral_Group_Nuclear,ThLGN_L,Thalamus,ThLGN_L,Thal_LGN_L
140,140_344_Right_Thalamus_Lateral_Group_Nuclear,ThLGN_R,Thalamus,ThLGN_R,Thal_LGN_R
141,141_112_Left_Thalamus_Midline_Group_Nuclear,ThML_L,Thalamus,ThML_L,Thal_MGN_L
142,142_144_Right_Thalamus_Midline_Group_Nuclear,ThML_R,Thalamus,ThML_R,Thal_MGN_R
143,143_248_Left_Thalamus_Pulvinar_Nucleus_Inferior,ThPI_L,Thalamus,ThPI_L,Thal_PuI_L
144,144_224_Right_Thalamus_Pulvinar_Nucleus_Inferior,ThPI_R,Thalamus,ThPI_R,Thal_PuI_R
145,145_1424_Left_Thalamus_Pulvinar_Nucleus_Medial,ThPM_L,Thalamus,ThPM_L,Thal_PuM_L
146,146_1496_Right_Thalamus_Pulvinar_Nucleus_Medial,ThPM_R,Thalamus,ThPM_R,Thal_PuM_R
147,147_288_Left_Thalamus_Pulvinar_Nucleus_Anterior,ThPA_L,Thalamus,ThPA_L,Thal_PuA_L
